,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
0,CHEMBL3651583,,0,349.48,0,2.48,BDBM101269,O=C(CN[C@H]1C[C@@H]1c1ccccc1)N1CCN(Cc2ccccc2)CC1,Ki,'=',1040.0,nM,5.98,,218628,UO_0000065,17.12,0.31,3.50,16.82,False,CHEMBL3707803,Biological Assay: Biological assay using monoamine oxidase or LSD1.,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639147,37,BindingDB Database,,2013.0,None,
1,CHEMBL4559594,,0,312.33,0,2.15,WA07,COc1cc(/C=C/C(=O)Nc2ccc(C(N)=O)cc2)ccc1O,IC50,'=',12100.0,nM,4.92,,,UO_0000065,15.74,0.29,2.77,4.84,False,CHEMBL4315249,Inhibition of human recombinant LSD1 using fluorogenic ADHP as substrate preincubated for 30 mins followed by substrate addition measured after 10 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4311998,1,Scientific Literature,Bioorg Med Chem Lett,2019.0,None,
2,CHEMBL4163180,,0,331.42,0,4.07,98,Cc1cc2c(cc1C#N)c(-c1cccc(N)c1C)cn2[C@H]1C[C@@H](O)C1,IC50,'=',4.0,nM,8.4,,,UO_0000065,25.34,0.46,4.33,11.20,False,CHEMBL4136251,Inhibition of full length LSD1 (unknown origin) using H3K4me1 as substrate incubated for 30 mins followed by substrate addition measured after 60 mins in presence of FAD by LC-MS analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4130558,1,Scientific Literature,ACS Med Chem Lett,2017.0,None,
3,CHEMBL1581095,,0,364.86,0,2.78,6g,CCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,IC50,'=',25660.0,nM,4.59,,,UO_0000065,12.58,0.26,1.81,6.32,False,CHEMBL4329420,Inhibition of full length recombinant LSD1 (unknown origin) expressed in Escherichia coli BL21(DE3) using H3K4me2 as substrate after 30 mins in presence of FAD by amplex red reagent based fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4325908,1,Scientific Literature,Eur J Med Chem,2019.0,None,
4,CHEMBL3402050,,0,2306.71,None,None,2b,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN1CC=CC1)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](C)N)[C@H](C)O)[C@H](C)O)[C@H](C)O)C(=O)N[C@@H](C)C(=O)O,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,False,CHEMBL3406143,"Inhibition of human recombinant LSD1 assessed as effect on H2O2 production incubated for 30 mins using methylated peptide substrate, Amplex red reagent and peroxidase by fluorimetry",B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3400031,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015.0,None,
5,CHEMBL4209282,,0,1285.47,None,None,2c,C[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCN1CC=CC1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,Inhibition,,,,,,Not Active,,,,,,False,CHEMBL4182596,Inhibition of human recombinant LSD1 at 10 uM incubated for 30 mins using H3K4me2 peptide substrate by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4177723,1,Scientific Literature,Bioorg Med Chem Lett,2018.0,None,
6,CHEMBL4099168,,0,412.48,0,4.22,6f,Cc1cc(Nc2ccc(C#N)cc2)n2nc(SCc3nc4ccccc4[nH]3)nc2n1,IC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL4042261,Inhibition of recombinant human LSD1 (157 to 852 residues) expressed in Escherichia coli BL21(DE3) using H3K4me2 as substrate preincubated for 1 hr followed by substrate addition by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4041507,1,Scientific Literature,Eur J Med Chem,2017.0,None,
7,CHEMBL3330328,,0,183.68,0,1.89,19a,C[C@@]1(N)C[C@H]1c1ccccc1.Cl,FC,'=',6.4,,,,,,,,,,False,CHEMBL3388875,Inhibition of KDM1A in human NB4 cells assessed as increase in Gfi-1b mRNA expression at biochemical IC50 level incubated for 24 hrs by quantitative RT-PCR method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,NB-4,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3351849,1,Scientific Literature,Eur. J. Med. Chem.,2014.0,CHEMBL3308423,
8,CHEMBL3655321,,0,418.37,0,3.88,BDBM101290,CN1CCN(C(=O)CN[C@H]2CC2c2ccc(-c3cc(Cl)cc(Cl)c3)cc2)CC1,Ki,'=',26.0,nM,7.58,,218649,UO_0000065,18.13,0.37,3.71,21.32,False,CHEMBL3707803,Biological Assay: Biological assay using monoamine oxidase or LSD1.,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639147,37,BindingDB Database,,2013.0,None,
9,CHEMBL3655324,,0,367.47,0,2.71,BDBM101293,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(-c3ccccc3F)cc2)CC1,Ki,'=',29.0,nM,7.54,,218652,UO_0000065,20.51,0.38,4.83,21.18,False,CHEMBL3707803,Biological Assay: Biological assay using monoamine oxidase or LSD1.,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL6136,Lysine-specific histone demethylase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3639147,37,BindingDB Database,,2013.0,None,
